new_filename,original_filename,kinematics,engagement_distance_threshold,engagement_time_threshold,n_trials,trial_order,bounding_box,exp_condition,real_fish_fps_avg,virtual_fish_fps_avg,pixel_to_mm
81825_exp12,81825/vid_12,v2',80,1.0,11,[4 2 3 4 1 2 1 3 5 5],"[[152, 146], [715, 142], [715, 691], [167, 708]]",kinematics_v2_engagement_threshold_1,50.48306929969226,29.99868596596711,0.5039861002550299
81825_exp7,81825/vid_7,v2',80,1.0,11,[4 1 2 1 4 2 5 5 3 3],"[[149, 143], [715, 143], [717, 691], [163, 706]]",kinematics_v2_engagement_threshold_1,50.36058888127924,29.991630497954983,0.5019727105856009
81825_exp9,81825/vid_9,v2',80,1.0,11,[4 3 2 4 5 3 1 1 2 5],"[[149, 146], [714, 143], [717, 692], [167, 706]]",kinematics_v2_engagement_threshold_1,50.412396166048275,29.9973588030038,0.503526273704591
81825_exp11,81825/vid_11,v2',80,1.0,11,[1 5 2 3 2 4 4 3 1 5],"[[153, 145], [718, 145], [715, 691], [164, 704]]",kinematics_v2_engagement_threshold_1,50.493238028112934,29.995144355229,0.5042622745039825
81825_exp4,81825/vid_4,v2',80,1.0,11,[2 1 4 5 1 4 3 3 5 2],"[[153, 146], [715, 143], [714, 691], [167, 708]]",kinematics_v2_engagement_threshold_1,49.99515903386012,30.000821405095515,0.5046786181464529
81825_exp2,81825/vid_2,v2',80,1.0,11,[2 5 5 3 4 1 4 2 3 1],"[[152, 149], [717, 145], [717, 691], [167, 706]]",kinematics_v2_engagement_threshold_1,38.04563015910006,29.998642706779723,0.5049083139720676
81825_exp1,81825/vid_1,v2',80,1.0,11,[1 3 1 5 5 3 2 2 4 4],"[[149, 147], [717, 146], [714, 691], [165, 706]]",kinematics_v2_engagement_threshold_1,50.461971700474315,30.002541610411292,0.5042434671839084
81825_exp14,81825/vid_14,v2',80,1.0,11,[2 5 2 3 1 3 5 4 1 4],"[[151, 146], [715, 145], [713, 690], [167, 703]]",kinematics_v2_engagement_threshold_1,50.518688130433105,30.000539917618628,0.5062918647001319
81825_exp3,81825/vid_3,v2',80,1.0,11,[2 1 5 4 4 3 5 1 3 2],"[[151, 145], [717, 143], [714, 691], [161, 704]]",kinematics_v2_engagement_threshold_1,50.34370376870221,30.0011374265716,0.503130641979705
81825_exp8,81825/vid_8,v2',80,1.0,11,[2 1 4 5 1 3 4 5 2 3],"[[151, 146], [717, 142], [715, 692], [164, 707]]",kinematics_v2_engagement_threshold_1,50.44407103058871,29.99973102287625,0.5026524958786707
81825_exp5,81825/vid_5,v2',80,1.0,11,[1 4 2 2 4 1 5 3 5 3],"[[149, 149], [717, 145], [713, 692], [164, 706]]",kinematics_v2_engagement_threshold_1,50.12662560237401,29.99899367858672,0.5042455113558943
81825_exp10,81825/vid_10,v2',80,1.0,11,[2 4 2 5 1 1 3 5 3 4],"[[149, 143], [714, 142], [713, 688], [165, 704]]",kinematics_v2_engagement_threshold_1,50.4613557490702,29.999448589888644,0.504454147582699
81825_exp13,81825/vid_13,v2',80,1.0,11,[3 3 1 5 4 2 5 2 1 4],"[[153, 146], [718, 143], [714, 690], [168, 704]]",kinematics_v2_engagement_threshold_1,50.39942691651643,29.999050902869,0.5053785261614151
60525_exp12,60525/vid_12,v2',80,1.0,11,[2 1 4 3 1 2 4 5 5 3],"[[152, 149], [718, 146], [716, 688], [172, 708]]",kinematics_v2_engagement_threshold_1,50.26444466006103,29.99650694566989,0.5064765359192519
60525_exp7,60525/vid_7,v2',80,1.0,11,[1 3 4 5 4 3 2 1 5 2],"[[153, 152], [718, 144], [720, 695], [170, 710]]",kinematics_v2_engagement_threshold_1,50.49013252042251,29.988573439073665,0.5035099908973735
60525_exp9,60525/vid_9,v2',80,1.0,11,[2 5 1 5 2 1 4 3 4 3],"[[152, 151], [718, 146], [717, 694], [170, 707]]",kinematics_v2_engagement_threshold_1,49.885036006610925,29.989363539655333,0.5051284597016368
60525_exp4,60525/vid_4,v2',80,1.0,11,[4 5 1 5 2 4 1 3 3 2],"[[155, 155], [720, 147], [718, 697], [170, 708]]",kinematics_v2_engagement_threshold_1,50.41457794735628,29.98555552146582,0.5053694712270151
60525_exp17,60525/vid_17,v2',80,1.0,11,[2 4 3 1 4 1 5 5 2 3],"[[153, 150], [717, 147], [714, 693], [172, 708]]",kinematics_v2_engagement_threshold_1,50.545387535892445,29.99681558666664,0.5067277810330107
60525_exp14,60525/vid_14,v2',80,1.0,11,[2 4 1 5 1 3 3 5 4 2],"[[151, 149], [717, 142], [718, 694], [170, 708]]",kinematics_v2_engagement_threshold_1,50.38442917409093,29.99329917973316,0.5032858558554169
60525_exp19,60525/vid_19,v2',80,1.0,11,[3 3 5 4 1 2 5 2 1 4],"[[155, 151], [717, 144], [719, 694], [168, 710]]",kinematics_v2_engagement_threshold_1,50.52660998904152,29.995241737698446,0.5039807936579236
60525_exp15,60525/vid_15,v2',80,1.0,11,[2 5 1 5 4 3 4 3 2 1],"[[153, 151], [718, 146], [713, 692], [173, 710]]",kinematics_v2_engagement_threshold_1,50.33099202523344,29.987792976197827,0.5067157492325627
60525_exp18,60525/vid_18,v2',80,1.0,11,[1 3 5 4 2 4 2 3 5 1],"[[153, 151], [718, 148], [717, 691], [171, 711]]",kinematics_v2_engagement_threshold_1,50.40663554800139,29.995243665411003,0.5057943421676179
60525_exp16,60525/vid_16,v2',80,1.0,11,[4 1 2 5 3 5 1 4 3 2],"[[152, 148], [718, 147], [719, 694], [169, 708]]",kinematics_v2_engagement_threshold_1,43.29451175443216,29.99687871208655,0.503772743958736
60525_exp3,60525/vid_3,v2',80,1.0,11,[5 2 4 2 3 3 1 5 4 1],"[[152, 150], [720, 147], [717, 694], [166, 709]]",kinematics_v2_engagement_threshold_1,50.49690735576963,29.985854000485688,0.5033391167372906
